Venue name,Street address,City
Axis,13 Landsdowne St.,Boston
Beachcomber,Cahoon Hollow Beach,Wellfleet
Boston Park Plaza Hotel and Towers,50 Park Plaza,Boston
Bunratty's,186 Harvard Ave.,Allston
Cantares,15 Springfield St.,Cambridge
Christopher's,1920 Mass Ave.,Cambridge
Citi,15 Landsdowne St.,Boston
Cityside,262 Faneuil Hall Marketplace,Boston
Club Cafe,209 Columbus Ave.,Boston
Club III,808 Somerville Ave.,Somerville
Club M,137 Main St.,Cambridge
Coffee Kingdom,2 Richmond Ave.,Worcester
Colonnade Hotel,120 Huntington Ave.,Boston
Commonwealth Brewing Company,138 Portland St.,Boston
Diamond Jim's Piano Bar (Lenox Hotel),710 Boylston St.,Boston
Ed Burke's,808 Huntington Ave.,Boston
Edible Rex,251 Old Concord Rd.,Billerica
Four Seasons Hotel,200 Boylston St.,Boston
Gilrein's,802 Main St.,Worcester
Green Street Station,131 Green St.,Jamaica Plain
Grover's,392 Cabot St.,Beverly
Harper's Ferry,158 Brighton Ave.,Allston
Hub Club,533 Washington St.,Boston
Johnny D's,17 Holland St.,Somerville
Jumbo's,1133 Broadway,Somerville
Lafayette Hotel,1 Ave de. Lafayette,Boston
Logan Airport Hilton,,East Boston
Middle East Restaurant,472 Mass Ave.,Cambridge
Misty's,"Howard Johnson Lodge, Rte. 1",Revere
Nameless Coffeehouse,3 Church St.,Cambridge
Necco Place,1 Necco St.,Boston
New World,31 Stetson St.,Lynn
Nightstage,823 Main St.,Cambridge
Old Vienna Kaffeehaus,22 South St.,Westborough
Papillon,1353 Beacon St.,Brookline
Paradise,987 Comm. Ave.,Boston
Plough and Stars,912 Mass Ave.,Cambridge
Regattabar,1 Bennett St.,Cambridge
Roxy,279 Tremont St.,Boston
Ryles,212 Hampshire St.,Cambridge
Sir Franco's,321 Somerville Ave.,Somerville
Sir Morgan's Cove,89 Green St.,Worcester
Sit 'n Bull Pub,163 Main St.,Maynard
T.T. the Bear's Place,10 Brookline St.,Cambridge
The 1882 Irish Embassy,502 Foundry St.,South Easton
The Averof,1924 Mass Ave.,Cambridge
The Channel,25 Necco St.,Boston
The Rat,526 Comm. Ave.,Boston
The Sticky Wicket,167 West Main St.,Hopkinton
The Tam,1648 Beacon St.,Brookline
"WBRS/The Joint (Usdan Student Center, Brandeis University)",,Waltham
Western Front,343 Western Ave.,Cambridge
Westin Hotel,Copley Place,Boston
Willow Jazz Club,699 Broadway,Somerville
Winnie's Pub,1619 Tremont St.,Boston
Copperfields,98 Brookline Ave.,Boston
